,date,name,amount,category,subcategory
0,18 OCT, BUS/MRT 193483168 ,2.75,TRANSPORT,bus/mrt
1,21 OCT, ITAEWON JJA JANG ,44.75,,
2,22 OCT, DOMINOS PIZZA SINGAPOR ,54.35,DINING,pizza
3,23 OCT, WWW.TADA.G* TADA RIDE ,23.10,TRANSPORT,tada
4,23 OCT, 7-ELEVEN-156 SIMEI RD ,4.00,FOOD,7-eleven
5,23 OCT, 7-ELEVEN-156 SIMEI RD ,9.20,FOOD,7-eleven
6,23 OCT, SNP*COSMIC DINER-KANPA ,333.90,,
7,23 OCT, MARQUEE ,159.97,NIGHTLIFE,marquee
8,23 OCT, MARQUEE ,10.01,NIGHTLIFE,marquee
9,23 OCT, BUS/MRT 194963859 ,2.20,TRANSPORT,bus/mrt
10,23 OCT, BUS/MRT 194971388 ,2.20,TRANSPORT,bus/mrt
11,24 OCT, KFC WS 529 ,14.40,,
12,25 OCT, GRAB* A-44BS46KGWJJJ ,17.80,TRANSPORT,grab
13,25 OCT, FR VIVO-SULTAN PRAWN N ,6.90,,
14,27 OCT, GRAB ,10.00,TRANSPORT,grab
15,27 OCT, BLUESG ,49.78,TRANSPORT,bluesg
16,27 OCT, BLUESG ,1.50,TRANSPORT,bluesg
17,27 OCT, WATSON'S ,24.50,RETAIL,watson
18,27 OCT, THE ORTHODONTIC CLINIC ,400.00,,
19,28 OCT, 7-ELEVEN-RIVERSIDE VIE ,6.95,FOOD,7-eleven
20,28 OCT, SHELL SIMPANG BEDOK ,3.20,,
21,28 OCT, APPLE.COM/BILL         ITUNES.COM    IRL ,11.09,ONLINE_BILLS,apple.com
22,29 OCT, PSCAFE - ONE FULLERTON SINGAPORE     065 ,68.27,FOOD,cafe
23,29 OCT, 7-ELEVEN-LAKESIDE MRT ,9.15,FOOD,7-eleven
24,31 OCT, BUS/MRT 197556120 ,2.72,TRANSPORT,bus/mrt
25,01 NOV, NTUC FP-EASTPOINT      SINGAPORE     065 ,30.30,FOOD,ntuc
26,01 NOV, BLUESG ,10.92,TRANSPORT,bluesg
27,01 NOV, COFFEE HIVE - INNOVIS ,4.40,,
28,01 NOV, COFFEE HIVE - INNOVIS ,1.80,,
29,01 NOV, GRAB* A-459EMDRGWFLQ ,22.80,TRANSPORT,grab
30,01 NOV, MCDONALD'S (EPM)       SINGAPORE     065 ,2.70,FOOD,mcdonald
31,02 NOV, EZYPAYSGD*ANYTIME FITN ,95.00,,
32,02 NOV, 7-ELEVEN-156 SIMEI RD ,7.50,FOOD,7-eleven
33,02 NOV, 7-ELEVEN-156 SIMEI RD ,3.00,FOOD,7-eleven
34,03 NOV, APPLE.COM/BILL         ITUNES.COM    IRL ,7.55,ONLINE_BILLS,apple.com
35,04 NOV, AIRBNB * HM5HA9EDW4    656-622-7306  GBR ,248.55,,
36,04 NOV, AIRASIA_Z2  E1E16C ,132.00,,
37,05 NOV, NTUC FP-EASTPOINT      SINGAPORE     065 ,6.50,FOOD,ntuc
38,05 NOV, NTUC FP-EASTPOINT      SINGAPORE     065 ,35.15,FOOD,ntuc
39,06 NOV, MCDONALD'S (PRC2)      SINGAPORE     065 ,8.60,FOOD,mcdonald
40,06 NOV, BUS/MRT 199516386 ,4.64,TRANSPORT,bus/mrt
41,07 NOV, SHOPEE SINGAPORE MP ,6.90,RETAIL,shopee
42,08 NOV, BLUESG ,44.44,TRANSPORT,bluesg
43,08 NOV, TPI BY BOOKING.COM     AMSTERDAM     NLD ,213.57,,
44,08 NOV, AIRPAZ (PHP)           KUALA LUMPUR  MYS ,140.59,,
45,08 NOV, AIRPAZ (THB)           KUALA LUMPUR  MYS ,120.38,,
46,09 NOV, AIRALO ,18.86,,
47,09 NOV, HEROKU OCT-74384518    8662781349    CA ,10.27,ONLINE_BILLS,heroku
48,09 NOV, GRAB                   MAKATI        PHL ,11.22,TRANSPORT,grab
49,09 NOV, JOLLIBEE JB3120        PASAY         PHL ,7.09,,
50,09 NOV, JOLLIBEE JB3120        PASAY         PHL ,2.25,,
51,09 NOV, FWD SINGAPORE - D2C GI SINGAPORE     065 ,38.40,,
52,10 NOV, GRAB                   MAKATI        PHL ,9.82,TRANSPORT,grab
53,10 NOV, GRAB                   MAKATI        PHL ,1.69,TRANSPORT,grab
54,10 NOV, GRAB                   MAKATI        PHL ,2.64,TRANSPORT,grab
55,10 NOV, GRAB                   MAKATI        PHL ,11.15,TRANSPORT,grab
56,10 NOV, GRAB                   MAKATI        PHL ,11.73,TRANSPORT,grab
57,10 NOV, GOOGLE*GOOGLE STORAGE ,2.79,ONLINE_BILLS,google
58,10 NOV, SM SUPERMARKET  SM MAN MANILA        PHL ,20.50,,
59,11 NOV, SIMBA TELECOM PTE LTD ,10.00,ONLINE_BILLS,SIMBA
60,11 NOV, GRAB                   MAKATI        PHL ,7.90,TRANSPORT,grab
61,11 NOV, GRAB                   MAKATI        PHL ,3.24,TRANSPORT,grab
62,11 NOV, DRIPP                  MAKATI        PHL ,5.46,,
63,11 NOV, YABU ROCKWELL          MAKATI        PHL ,38.65,,
64,12 NOV, GRAB                   MAKATI        PHL ,7.85,TRANSPORT,grab
65,12 NOV, GRAB                   MAKATI        PHL ,3.49,TRANSPORT,grab
66,12 NOV, GRAB                   MAKATI        PHL ,3.47,TRANSPORT,grab
67,12 NOV, GRAB                   MAKATI        PHL ,0.45,TRANSPORT,grab
68,12 NOV, GRAB                   MAKATI        PHL ,8.14,TRANSPORT,grab
69,12 NOV, A MANO RISTORANTE      MAKATI        PHL ,42.11,,
70,13 NOV, GRAB                   MAKATI        PHL ,5.59,TRANSPORT,grab
71,13 NOV, GRAB                   MAKATI        PHL ,6.17,TRANSPORT,grab
72,13 NOV, GRAB                   MAKATI        PHL ,6.42,TRANSPORT,grab
